model,window,dept_id,MASE,RMSSE,sMAPE,MAE,RMSE,MAPE,ME,MPE
seasonal_mean_4w,3,CARDIOLOGY,0.6658048299384957,0.7143162648112851,20.85853999100859,7.107142857142857,9.945835452949282,22.980247409588276,3.8214285714285716,0.2642964458694524
naive,3,ELECTIVE_SURGERY,2.9477746291048508,2.5379450707748705,74.25898439470605,25.857142857142858,32.40811185931254,811.5554437193645,-24.857142857142858,-810.0948281742419
mean,3,ELECTIVE_SURGERY,2.407057985273968,1.7874018242234007,90.8044799863354,21.114111498257838,22.824102429957453,330.69411079615605,9.409117305458766,-262.97998335219285
seasonal_naive,3,ELECTIVE_SURGERY,0.8875895982663777,0.8279834237082373,50.779024781392614,7.785714285714286,10.572876348738516,53.044826645953016,2.0,-11.597312640509115
drift,3,ELECTIVE_SURGERY,3.031350384440133,2.5867949797444996,75.15180820867823,26.590248510390932,33.03189735114024,825.164000116034,-25.697936346461272,-823.8606750982964
seasonal_mean_4w,3,ELECTIVE_SURGERY,0.5924049841640273,0.6019356218777058,30.068435167837336,5.196428571428571,7.686374772469604,21.588930711477,2.1785714285714284,6.456317859565905
naive,3,EMERGENCY,0.6575271824633779,0.5991932047439261,15.27524759725097,19.25,23.22483276888893,16.594296189044027,-7.964285714285714,-9.590196894028058
mean,3,EMERGENCY,0.8939203887021913,0.7744615369935783,20.14285495524385,26.17073170731707,30.018263792393036,23.329073399196684,-20.61875725900116,-20.017309887826865
seasonal_naive,3,EMERGENCY,0.852711503788314,0.8255465002798433,21.17634608101357,24.964285714285715,31.998325849063683,18.974869035543502,14.178571428571429,9.017577230172973
drift,3,EMERGENCY,0.6476587584859117,0.5944409795601269,15.058689783135309,18.961088504577823,23.040635694723164,16.293142941011826,-7.138242987937801,-8.927271788107605
seasonal_mean_4w,3,EMERGENCY,0.5794534539334036,0.5791141090484229,13.583910845102157,16.964285714285715,22.44656352954087,12.985154651774403,7.142857142857143,3.2938352823573775
naive,3,ONCOLOGY,1.751521946358161,1.4907065186218347,66.75757370868033,11.821428571428571,14.17870636855543,371.27371505016896,-3.75,-348.3691420926882
mean,3,ONCOLOGY,1.8833926669160752,1.4734147956457182,76.16827978384534,12.711454703832754,14.014237870147426,273.8554910719189,3.0701219512195124,-226.05185296325607
seasonal_naive,3,ONCOLOGY,0.9683640972312492,0.9249238577354542,38.60195596216872,6.535714285714286,8.797321020791337,51.95961253439714,-0.32142857142857145,-29.73376451612276
drift,3,ONCOLOGY,1.7569050664890822,1.50384341993316,66.60692542749025,11.857760499927336,14.30365669510138,377.21413552050836,-4.118769074262461,-355.3562273143509
seasonal_mean_4w,3,ONCOLOGY,0.7937410633043026,0.7475348824570384,30.66355292437387,5.357142857142857,7.11010347523659,34.86257933605659,0.5357142857142857,-11.275270248221561
naive,3,ORTHOPEDICS,2.0621758533349417,1.8373955931907124,60.44433210222911,17.5,20.868636754709208,60.13440719149925,12.714285714285714,5.7515751112987585
mean,3,ORTHOPEDICS,1.800392089375001,1.5407014025612045,51.67911944953272,15.278455284552846,17.498865261610284,69.5020296156174,5.688879210220671,-25.77859142255683
seasonal_naive,3,ORTHOPEDICS,1.1531350690077022,1.1062179716723153,33.05952258676856,9.785714285714286,12.564121252882863,38.1235885047638,3.857142857142857,-8.263232559476622
drift,3,ORTHOPEDICS,2.0531851142563124,1.8264548441921213,60.127584317111186,17.423702950152595,20.74437471907454,60.3826442265171,12.493024269728238,4.742451971427992
seasonal_mean_4w,3,ORTHOPEDICS,0.8101405138101556,0.7535046472869207,24.40995249572067,6.875,8.558099755703449,29.934600629241643,-0.6071428571428571,-15.861880710988189
naive,3,PEDIATRICS,1.0406020320533553,0.9312999595375124,41.152807791550245,13.642857142857142,16.56804152578089,34.7856002494967,11.642857142857142,23.26807657335958
mean,3,PEDIATRICS,0.9479497824237803,0.8537635826080685,32.79731906138107,12.428135888501743,15.188651459702099,46.42730453200466,-9.57868757259001,-41.86672119066908
seasonal_naive,3,PEDIATRICS,0.89894939941782,0.8298039459220041,34.27679029841548,11.785714285714286,14.762403985414144,30.897430141878512,5.928571428571429,9.164248886095114
drift,3,PEDIATRICS,1.0567137858318787,0.9437824939526716,41.94410396012955,13.854090975148962,16.790108698037667,35.24810776078882,11.923121639296614,24.09188323299874
seasonal_mean_4w,3,PEDIATRICS,0.8226749049217627,0.8016702927600488,31.539998201136417,10.785714285714286,14.261899793305439,27.075295646854592,8.464285714285714,15.876658367008975
naive,4,CARDIOLOGY,1.6850476279542022,1.5927460409243106,49.20460051342292,17.928571428571427,22.111729272686283,101.76624960341047,-3.7857142857142856,-80.39925685536832
mean,4,CARDIOLOGY,1.7420181215878527,1.5723574848762756,51.56854290267986,18.5347261434218,21.828679608765274,91.46597557419787,1.3763410502540978,-59.70523582303534
seasonal_naive,4,CARDIOLOGY,1.0607072717799362,1.1814081589916818,28.92988946702201,11.285714285714286,16.401219466856727,32.94184030416455,2.2142857142857144,-9.667157294898034
drift,4,CARDIOLOGY,1.6854593261778588,1.597587747965661,49.14267918548181,17.932951815741138,22.178945584995475,102.60968423614393,-4.23032358343931,-81.99953615252758
seasonal_mean_4w,4,CARDIOLOGY,0.9113355198995337,0.9930287982736201,25.62197424805182,9.696428571428571,13.78599185508868,27.510725896313957,4.357142857142857,-4.002239405190795
naive,4,ELECTIVE_SURGERY,2.8550671550671547,2.437988704911631,79.6722202474567,24.928571428571427,30.958497564135303,606.7927730270484,-23.857142857142858,-604.8990727772431
mean,4,ELECTIVE_SURGERY,2.127178135873788,1.6057619320498802,86.898314363918,18.57312252964427,20.390568980814578,266.40571115435733,5.148785996612084,-211.7019121223481
seasonal_naive,4,ELECTIVE_SURGERY,1.137118437118437,1.3385884039147222,41.67256897917837,9.928571428571429,16.997899029838113,64.89286546021971,-4.428571428571429,-40.35949326707126
drift,4,ELECTIVE_SURGERY,2.917575533599273,2.479283688254692,80.33050673163471,25.474353539635445,31.482876794712375,614.4113546269595,-24.602939098488065,-612.8827288969626
seasonal_mean_4w,4,ELECTIVE_SURGERY,0.7955738705738705,0.8872203801746321,39.233054783382265,6.946428571428571,11.266258093465257,52.55300134858808,-4.0,-34.599776429189696
naive,4,EMERGENCY,1.6966187368111108,1.491291182182542,35.545862929974895,49.142857142857146,57.29372940009603,29.08356557922635,49.07142857142857,29.015538368341996
mean,4,EMERGENCY,0.9241344747362027,0.8124658198930318,17.511042630507788,26.7677159796725,31.21402271262183,17.1051093149735,9.987436476566918,2.8423672620237643
seasonal_naive,4,EMERGENCY,1.2132796780684105,1.1144318430895348,24.10264501577383,35.142857142857146,42.81521758840958,21.42074167833062,25.5,12.962449024665796
drift,4,EMERGENCY,1.7375141054039367,1.5170889712872497,36.62703462995423,50.32739861523243,58.28485143296603,29.88457082643633,50.26183411049879,29.82212844097572
seasonal_mean_4w,4,EMERGENCY,1.1392992098935073,1.0849561467565911,22.45727151212833,33.0,41.68279449776439,19.393289040516702,30.035714285714285,16.97400384174798
naive,4,ONCOLOGY,2.3780603230691573,2.0076777223678817,76.15841418010774,16.071428571428573,19.067549097129096,418.1126022264169,-13.285714285714286,-411.07696942666456
mean,4,ONCOLOGY,1.7255715363143536,1.4481590725638234,70.56256902619748,11.661773009599093,13.753623855524323,220.0512009381521,1.4494635798983626,-182.87060435029548
seasonal_naive,4,ONCOLOGY,0.9300858152448259,0.9026986567315057,36.02305027895267,6.285714285714286,8.573214099741124,34.30209863616277,2.7142857142857144,6.592725762344803
drift,4,ONCOLOGY,2.4108341184876503,2.0391600528694056,76.51678854798902,16.292920729122507,19.3665467279948,423.25496139592406,-13.759008054260278,-416.87912709652625
seasonal_mean_4w,4,ONCOLOGY,0.9142320797576983,0.8719648892606745,33.44342379587826,6.178571428571429,8.281325808278355,40.16428661380851,-1.5357142857142858,-20.402390382850808
naive,4,ORTHOPEDICS,1.1594427628640895,1.1923782582539162,39.69517259597314,9.964285714285714,13.663036684008844,89.02137775615556,-8.392857142857142,-84.98318484601143
mean,4,ORTHOPEDICS,1.089912662205276,0.950891616387793,39.56380295991009,9.366741953698476,10.89592748550119,70.39971433918252,-1.5756634669678147,-48.95272204949439
seasonal_naive,4,ORTHOPEDICS,0.9017888155609587,0.838528971420089,37.03135765583293,7.75,9.60840405954228,43.80172153712867,-2.392857142857143,-18.698139563798797
drift,4,ORTHOPEDICS,1.1897206572489982,1.216923020051591,40.33323493868825,10.224494842447362,13.944286344945281,90.80728530521705,-8.808781969761199,-87.17810970030504
seasonal_mean_4w,4,ORTHOPEDICS,1.0264600803850543,1.0048281246643354,32.54426286702238,8.821428571428571,11.513966674062791,44.997338730988886,-7.107142857142857,-35.941757602140946
naive,4,PEDIATRICS,1.8341411273213877,1.5659644574680807,58.653300246823406,23.964285714285715,27.71345727775072,43.92101268771452,23.964285714285715,43.92101268771452
mean,4,PEDIATRICS,0.8501011782368877,0.8184746120251382,22.07738715580513,11.107142857142858,14.48485058847168,21.531346180773156,4.007763975155277,0.8771077105589427
seasonal_naive,4,PEDIATRICS,1.2765184895068376,1.1966168785716083,37.12629103985872,16.678571428571427,21.176975367466568,31.5600206972826,9.535714285714286,15.172887998477574
drift,4,PEDIATRICS,1.8538997929657155,1.5799386038482914,59.53629796142129,24.222445951674437,27.960762960107754,44.4525447933262,24.222445951674437,44.4525447933262
seasonal_mean_4w,4,PEDIATRICS,1.1261790528411502,1.0621531864060076,32.50009016243378,14.714285714285714,18.797321237726553,26.730614214100534,13.321428571428571,22.71945672080018
